"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
294,-0.126102317634962,0.099335131528602,0.475201027423294,0.0644209307889164,0.0665870124321362,0.400037662958927," "
296,0.132616840177902,0.100947356741354,0.532710851648249,0.0510522250734893,0.0740232766353141,0.525773930324573," "
298,0.1867854833561,0.133085906143698,0.622062584353265,0.10674919252278,0.0251656766977467,0.0252830579823633,"*"
300,0.492963668351101,0.135726527670932,0.575571342098524,0.119336948551029,0.00963858526265087,0.00420802393523256,"**"
302,0.849446914273135,0.0996435554234068,0.323288123824768,0.115063249671866,0.0159791096493907,0.0158004981361115,"*"
304,0.953432108560767,0.126228312380468,0.528529490900811,0.11308188576438,0.0190352389363728,0.0284502006290772,"*"
306,0.686085728240343,0.0963832432718214,0.350811131764703,0.0981710037364336,0.0391773022255159,0.12990906265076," "
308,0.556113185663773,0.11017647573914,0.459007433909339,0.0980095050737338,0.0345260787906069,0.0717486743894892,"."
310,-0.123298042420472,0.10545708099336,0.414083304474415,0.0998905752151494,0.0320186789602706,0.0540047083267785,"."
312,0.16640607656456,0.100235897705379,0.348529776836586,0.108152198193403,0.0230695887327744,0.0158948101815946,"*"
314,-0.210122564824721,0.0936424396645696,0.290616093712088,0.113176437565936,0.017420494282269,0.00612318983157412,"**"
316,-0.0680089446463002,0.0929486640835133,0.336557199599818,0.0942992185793248,0.039228836894861,0.108520746068271," "
318,-0.570613914710423,0.121758034624895,0.487547879041615,0.114003798792691,0.0168991380024697,0.00937656494067085,"**"
320,-0.405695968682144,0.110063312928694,0.393651337717179,0.115273537831472,0.0151374823891187,0.00614785114000971,"**"
322,-0.670839362497641,0.121711676030679,0.481659951390117,0.115212912280481,0.0156207384540334,0.0121802805508393,"*"
324,0.117175937799499,0.144119101740051,0.634548003175839,0.121588585428256,0.00616422969757772,0.000193171326533847,"***"
326,0.0297216101632106,0.139075988006898,0.584191307751276,0.122717374332631,0.00451776153805581,0.000115875407454058,"***"
328,0.7531291257483,0.142483159665055,0.631833103743171,0.119731950690376,0.00900638909163437,0.00260554370584554,"**"
330,0.197994982223212,0.11908559282452,0.437861599273169,0.120533072123637,0.00778908263048596,0.00132376081307184,"**"
332,0.42395903024142,0.109695892024585,0.391905757810274,0.115036568482128,0.015274667005345,0.00487142043588218,"**"
334,-0.45955805719553,0.104339324846862,0.350670685907109,0.116198242034893,0.0141336669648176,0.00811623725600974,"**"
336,-0.324646528149688,0.11000586385062,0.467761397954436,0.0952797221899341,0.0359303061984599,0.077149521951235,"."
338,-0.933311136147666,0.132749443119326,0.587395205927284,0.112557542308218,0.0190972056645045,0.0169866579199225,"*"
340,-0.454314380611651,0.125202827560802,0.593370353771527,0.09788064400676,0.0333617425632288,0.0596347348142686,"."
342,-0.684420168907805,0.137974005384213,0.67253351436034,0.106077833439472,0.0258496875829295,0.0272842939790759,"*"
344,-0.141542467585673,0.106479459956859,0.437597566510448,0.0954672667641538,0.0354168589282253,0.0726646054072294,"."
346,0.332327990561664,0.113201719689589,0.453787636233514,0.105806212812418,0.0256596825120322,0.0239534413935721,"*"
348,0.371084850173147,0.0943381836337506,0.342106101467288,0.0959733303695728,0.0350276186096879,0.0701311316982415,"."
350,0.898679930402122,0.127066436577428,0.574570553791921,0.10523959758295,0.0271444072272144,0.0345385757551706,"*"
352,0.67584097604848,0.109256877345503,0.412921887725966,0.108468912352777,0.0243859654785489,0.0327676898732137,"*"
354,0.996144038388904,0.105852129574543,0.396677182011286,0.105834956895018,0.0268501115641178,0.0359773232380765,"*"
356,0.493410091956267,0.116148360502191,0.47345859817274,0.106831636185288,0.0259377886235484,0.0343417165148494,"*"
358,0.564662813170453,0.089044020090096,0.381611153771208,0.064514541329475,0.0621569173491367,0.369405063301036," "
360,0.147122456005673,0.103178932192202,0.384642339460131,0.103472116892358,0.0287741906156483,0.0397029691255509,"*"
362,0.274312591873786,0.0764377086255831,0.259783166475882,0.076419853424347,0.0502112467306316,0.221937269728894," "
364,0.49594575968719,0.116590634939488,0.536370184859103,0.0926681746917924,0.0379332643459326,0.091531931207653,"."
366,0.416744634647771,0.104117644709418,0.401379781944322,0.100564928000288,0.0313665654484415,0.0504992537680585,"."
368,1.00365513581995,0.0940183896810702,0.455682695049737,0.0534059115911471,0.0633434394167028,0.447276203655582," "
370,0.532047634345162,0.133195277917159,0.604224419966879,0.11020092298694,0.0214484347628919,0.0164146837531898,"*"
372,1.17536715687376,0.0804559847352298,0.352374287588716,0.04403843361935,0.0688280275789894,0.551796231426258," "
374,0.541255682066993,0.12986424687436,0.523180648382918,0.12005782100123,0.00832639759861072,0.000353802304210116,"***"
